epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1854.63,1.39484,1.37641,1.58064,0.73735,0.54234,0.6045,0.32474,1.68406,1.34344,1.8003,0.000494885,0.000494885,0.000494885
43,1897.97,1.40574,1.36643,1.5749,0.57072,0.59292,0.60632,0.32808,1.67765,1.37049,1.80211,0.000486639,0.000486639,0.000486639
44,1941.17,1.38472,1.34635,1.57037,0.54656,0.59099,0.59421,0.32165,1.692,1.38853,1.83072,0.000478392,0.000478392,0.000478392
45,1985.49,1.38586,1.35434,1.57725,0.68269,0.55407,0.59585,0.3284,1.6477,1.40557,1.80593,0.000470145,0.000470145,0.000470145
46,2029.39,1.37693,1.35888,1.57072,0.54569,0.6156,0.61943,0.34549,1.65457,1.3396,1.81034,0.000461898,0.000461898,0.000461898
47,2073.39,1.39663,1.34452,1.56632,0.51549,0.62136,0.60799,0.33978,1.63331,1.31263,1.78055,0.000453652,0.000453652,0.000453652
48,2120.25,1.38409,1.31519,1.5547,0.52616,0.63463,0.60546,0.32767,1.68164,1.36146,1.81464,0.000445405,0.000445405,0.000445405
49,2164.97,1.37832,1.30925,1.56119,0.72278,0.54498,0.62555,0.34177,1.66518,1.34812,1.79666,0.000437158,0.000437158,0.000437158
50,2209.35,1.3787,1.29466,1.5507,0.54749,0.6226,0.61254,0.32714,1.67762,1.34072,1.80306,0.000428912,0.000428912,0.000428912
51,2253.37,1.37328,1.29076,1.55769,0.57901,0.57548,0.60169,0.33487,1.64903,1.36353,1.79729,0.000420665,0.000420665,0.000420665
52,2297.39,1.36372,1.31299,1.55564,0.51277,0.66168,0.61248,0.33921,1.65581,1.32114,1.80024,0.000412418,0.000412418,0.000412418
53,2340.99,1.37969,1.29371,1.55194,0.75611,0.54493,0.62045,0.32807,1.67191,1.30827,1.81751,0.000404172,0.000404172,0.000404172
54,2385.55,1.37598,1.29365,1.56491,0.51775,0.64227,0.61085,0.33573,1.64644,1.36978,1.79983,0.000395925,0.000395925,0.000395925
55,2430.66,1.35518,1.29143,1.54525,0.51927,0.6543,0.62123,0.34171,1.63784,1.30676,1.80255,0.000387678,0.000387678,0.000387678
56,2474.62,1.33655,1.25614,1.5389,0.5312,0.64431,0.62042,0.3414,1.66164,1.31884,1.8082,0.000379431,0.000379431,0.000379431
57,2517.88,1.35174,1.2634,1.52991,0.57451,0.62642,0.62739,0.34933,1.61599,1.29307,1.79508,0.000371185,0.000371185,0.000371185
58,2561.47,1.34103,1.25379,1.54278,0.54724,0.67981,0.61789,0.34291,1.62297,1.28117,1.78483,0.000362938,0.000362938,0.000362938
59,2605.09,1.33663,1.21539,1.52388,0.56939,0.65213,0.63147,0.34387,1.65881,1.28707,1.80552,0.000354691,0.000354691,0.000354691
60,2648.62,1.33603,1.22046,1.52363,0.72247,0.57141,0.61716,0.33706,1.65305,1.3268,1.7951,0.000346445,0.000346445,0.000346445
61,2693.02,1.31939,1.21461,1.52309,0.73007,0.55836,0.62886,0.34163,1.65096,1.31737,1.82541,0.000338198,0.000338198,0.000338198
62,2739.63,1.33321,1.22638,1.52663,0.53777,0.66505,0.63042,0.34813,1.63749,1.26508,1.80057,0.000329951,0.000329951,0.000329951
63,2783.55,1.31293,1.23775,1.52904,0.5399,0.65537,0.62023,0.34608,1.6536,1.27001,1.80249,0.000321705,0.000321705,0.000321705
64,2827.52,1.31252,1.1948,1.50753,0.74838,0.55493,0.63007,0.3413,1.65894,1.29171,1.80848,0.000313458,0.000313458,0.000313458
65,2871.53,1.29401,1.18182,1.49645,0.54531,0.68516,0.63579,0.35383,1.648,1.26562,1.81987,0.000305211,0.000305211,0.000305211
66,2915.23,1.31466,1.19495,1.50946,0.54988,0.67635,0.6502,0.35964,1.6573,1.26984,1.81968,0.000296964,0.000296964,0.000296964
67,2958.75,1.29597,1.16975,1.49512,0.56043,0.67266,0.64202,0.35668,1.64757,1.26813,1.81777,0.000288718,0.000288718,0.000288718
68,3001.72,1.3075,1.16848,1.49325,0.54791,0.67401,0.63615,0.34653,1.65891,1.27829,1.81593,0.000280471,0.000280471,0.000280471
69,3046.59,1.29398,1.14433,1.49214,0.56122,0.69117,0.63223,0.34876,1.66953,1.27475,1.83427,0.000272224,0.000272224,0.000272224
70,3090.45,1.29817,1.17493,1.49266,0.57663,0.63055,0.62052,0.3402,1.67739,1.27227,1.8297,0.000263978,0.000263978,0.000263978
71,3135,1.27298,1.13912,1.48184,0.53544,0.68354,0.62652,0.34709,1.66731,1.28444,1.83362,0.000255731,0.000255731,0.000255731
72,3178.57,1.28716,1.14898,1.48005,0.50949,0.70083,0.6343,0.34564,1.65222,1.24816,1.80529,0.000247484,0.000247484,0.000247484
73,3222.18,1.2744,1.14071,1.4823,0.55283,0.69609,0.63085,0.34377,1.66316,1.25582,1.81703,0.000239238,0.000239238,0.000239238
74,3267.01,1.26156,1.13696,1.46776,0.53192,0.65995,0.63594,0.34568,1.66927,1.25193,1.84386,0.000230991,0.000230991,0.000230991
75,3311.5,1.27085,1.1341,1.48221,0.54706,0.72129,0.63068,0.34273,1.66045,1.25193,1.81803,0.000222744,0.000222744,0.000222744
76,3357.87,1.26822,1.11304,1.46772,0.56647,0.72617,0.63688,0.34878,1.67294,1.2614,1.8346,0.000214497,0.000214497,0.000214497
77,3402.21,1.2827,1.12167,1.47219,0.53459,0.71137,0.63853,0.34731,1.66563,1.26051,1.83506,0.000206251,0.000206251,0.000206251
78,3445.96,1.26559,1.11187,1.47493,0.55992,0.69492,0.63773,0.34946,1.66123,1.25876,1.82286,0.000198004,0.000198004,0.000198004
79,3489.26,1.2644,1.10994,1.46819,0.56095,0.68429,0.62346,0.34591,1.66775,1.27884,1.83596,0.000189757,0.000189757,0.000189757
80,3533.04,1.23239,1.08533,1.44755,0.57573,0.73012,0.63295,0.34624,1.6663,1.2434,1.83401,0.000181511,0.000181511,0.000181511
81,3577.02,1.23639,1.07256,1.45741,0.53849,0.70764,0.63293,0.34746,1.66405,1.2609,1.83627,0.000173264,0.000173264,0.000173264
82,3621.67,1.24552,1.09865,1.46229,0.54559,0.69978,0.63371,0.34869,1.67524,1.27573,1.83887,0.000165017,0.000165017,0.000165017
83,3667.07,1.2234,1.07267,1.43758,0.54599,0.6995,0.63267,0.34711,1.65922,1.25957,1.83697,0.000156771,0.000156771,0.000156771
84,3711.38,1.24117,1.08297,1.44217,0.55001,0.71362,0.62929,0.34337,1.65814,1.23925,1.83513,0.000148524,0.000148524,0.000148524
85,3755.47,1.23329,1.07864,1.4484,0.54715,0.74047,0.63369,0.34595,1.66361,1.25719,1.83584,0.000140277,0.000140277,0.000140277
86,3799.58,1.2276,1.06088,1.44386,0.54316,0.74196,0.64062,0.35246,1.67472,1.2563,1.85893,0.000132031,0.000132031,0.000132031
